,City,Country,Lat,Lng,Hotel Name
363,Ritchie,,-29.038,24.6028,
364,Nadym,,65.5333,72.5167,
365,Pervomayskoye,,43.919,46.7102,
366,Orlik,,52.5178,99.825,
367,Gumlā,,23.05,84.55,
368,Borovoy,,55.4333,86.0833,
369,Inhapim,,-19.5492,-42.12,
370,Ilo,,-17.6394,-71.3375,
371,Jaciara,,-15.9653,-54.9683,
372,Dedham,,42.2418,-71.1662,
373,Takoradze,,4.8845,-1.7554,
374,Kulu,,39.0951,33.0799,
375,Kashgar,,39.4547,75.9797,
376,Forbes,,-33.3833,148.0167,
377,Grimstad,,58.3405,8.5934,
378,Rio Branco do Sul,,-25.19,-49.3142,
379,Sur,,22.5667,59.5289,
380,Mount Gambier,,-37.8333,140.7667,
381,Jardim do Seridó,,-6.5844,-36.7744,
382,Glendive,,47.1053,-104.7125,
383,Loštice,,49.7447,16.9289,
384,Brae,,60.3964,-1.353,
385,Batagay,,67.6333,134.6333,
386,Narsaq,,60.9167,-46.05,
387,Bara,,10.3744,10.7288,
388,Omboué,,-1.5746,9.2618,
389,Nanding,,36.7483,118.0558,
390,Lichuan,,30.3,108.85,
391,Salamanca,,40.8333,-6.0,
392,Tilichiki,,60.4667,166.1,
393,Payo,,-3.7508,103.6372,
394,Tual,,-5.6667,132.75,
395,Kemin,,42.7846,75.6892,
396,Bristol,,41.8334,-71.1662,
397,Hutchinson,,38.0608,-97.9298,
398,San Vicente,,-26.6167,-54.1333,
399,Manali,,13.1667,80.2667,
400,Dezhou,,37.4486,116.2925,
401,Luwuk,,-0.9516,122.7875,
402,Praia da Vitória,,38.7333,-27.0667,
403,Tshikapa,,-6.4167,20.8,
404,Tateyama,,34.9833,139.8667,
405,Beringovskiy,,63.05,179.3167,
406,Salobreña,,36.7428,-3.5872,
407,Ariquemes,,-9.9133,-63.0408,
408,Smithers,,54.7804,-127.1743,
409,Areia Branca,,-4.9561,-37.1369,
410,Yantal',,56.8471,105.2542,
411,Mahébourg,,-20.4081,57.7,
412,Luganville,,-15.5333,167.1667,
413,Romanshorn,,47.5659,9.3787,
414,Winsum,,53.33,6.5208,
415,Gönen,,40.1049,27.654,
416,Tashtyp,,52.7939,89.8983,
417,Ulluaya,,42.3738,47.3745,
418,Ulladulla,,-35.35,150.4667,
419,Hervey Bay,,-25.2986,152.8535,
420,Coria,,39.9879,-6.5377,
421,Maridi,,4.9158,29.4742,
422,Muisne,,0.6,-80.0333,
423,Honiara,,-9.4333,159.95,
424,Nemuro,,43.3236,145.575,
425,Coyhaique,,-45.5752,-72.0662,
426,Harper,,4.375,-7.7169,
427,Husavik,,66.0449,-17.3389,
428,Medicine Hat,,50.0501,-110.6683,
429,Olafsvik,,64.8945,-23.7142,
430,Ihosy,,-22.4,46.1167,
431,Jyvaskyla,,62.2415,25.7209,
432,Lagoa,,39.05,-27.9833,
433,Goderich,,43.7501,-81.7165,
434,Kamaishi,,39.2667,141.8833,
435,Iskateley,,67.6803,53.1512,
436,Maragogi,,-9.0122,-35.2225,
437,Novaya Ladoga,,60.1025,32.3019,
438,Benghazi,,32.1167,20.0667,
439,Qufu,,35.5967,116.9911,
440,Berlevåg,,70.8578,29.0864,
441,Leh,,34.1667,77.5833,
442,Kalispell,,48.1958,-114.3129,
443,Antsohihy,,-14.8796,47.9875,
444,Barcelos,,41.5388,-8.6151,
445,Burnie,,-41.0667,145.9167,
446,Taltal,,-25.4,-70.4833,
447,Saint-Augustin,,51.226,-58.6502,
448,Choya,,52.0108,86.5467,
449,Mudgere,,13.1333,75.6333,
450,Dunedin,,-45.8742,170.5036,
451,Cantanhede,,-3.6333,-44.3767,
452,Alofi,,-19.0595,-169.9187,
453,Thongwa,,16.7619,96.5278,
454,Stann Creek Town,,16.9692,-88.2321,
455,Vila,,42.0304,-8.1588,
456,Ukiah,,39.1502,-123.2078,
457,Kasese,,0.1833,30.0833,
458,Baijiantan,,45.6333,85.1833,
459,Dicabisagan,,17.0818,122.4157,
460,Nizhniy Tsasuchey,,50.5167,115.1333,
461,Ciudad Bolivar,,8.1222,-63.5497,
462,Eureka,,40.8021,-124.1637,
463,Chitral,,35.8462,71.7858,
464,Gualaquiza,,-3.4,-78.55,
465,Kasongo-Lunda,,-6.4667,16.8167,
466,Murgab,,37.4966,61.9714,
467,Hualmay,,-11.0964,-77.6139,
468,Kaniama,,-7.5667,24.1833,
469,Camacha,,33.0833,-16.3333,
470,Shaunavon,,49.6501,-108.4181,
471,Kumul,,42.8,93.45,
472,Shetpe,,44.1667,52.1167,
473,Yārāda,,17.65,83.2667,
474,Bulgan,,48.8125,103.5347,
475,Tocoa,,15.6833,-86.0,
476,Novoagansk,,61.9449,76.6625,
477,Pringsewu,,-5.3582,104.9744,
478,Nioro,,13.35,-15.75,
479,Vostok,,46.4856,135.8833,
480,Te Anau,,-45.4167,167.7167,
481,Kidal,,18.4411,1.4078,
482,Vestmannaeyjar,,63.4427,-20.2734,
483,Pula,,44.8683,13.8481,
484,Sydney,,-33.8679,151.2073,
485,Nālūt,,30.3333,10.85,
486,Tutóia,,-2.7619,-42.2744,
487,Keti Bandar,,24.1447,67.4497,
488,Bambanglipuro,,-7.95,110.2833,
489,Ecoporanga,,-18.3733,-40.8306,
490,Amahai,,-3.3333,128.9167,
491,Mora,,11.0461,14.1401,
492,Torit,,4.4133,32.5678,
493,Karabulak,,43.3036,44.8964,
494,Kasrāwad,,22.1333,75.6,
495,Chute-aux-Outardes,,49.1168,-68.399,
496,Innisfail,,-17.5333,146.0333,
497,Stokmarknes,,68.5646,14.9108,
498,Butembo,,0.15,29.2833,
499,Birjand,,32.8663,59.2211,
500,Yelan',,50.949,43.7378,
501,Raudeberg,,61.9875,5.1352,
502,Colchester,,51.8892,0.9042,
503,Terney,,45.0503,136.6092,
504,Laguna,,38.421,-121.4238,
505,Wellington,,-41.2866,174.7756,
506,Havelock,,34.8791,-76.9013,
507,Mikhaylovka,,50.06,43.2379,
508,Dongsheng,,39.8161,109.9776,
509,Santiago del Estero,,-27.7951,-64.2615,
510,Parabel',,58.6978,81.4825,
511,Guerrero Negro,,27.9769,-114.0611,
512,Muros,,42.7762,-9.0603,
513,Shache,,38.4167,77.2406,
514,Khandyga,,62.6667,135.6,
515,Los Llanos de Aridane,,28.6585,-17.9182,
516,Chino Valley,,34.7575,-112.4538,
517,Melfort,,52.8667,-104.6177,
518,Voh,,-20.9667,164.7,
519,Oodweyne,,9.4092,45.064,
520,Calama,,-22.4667,-68.9333,
521,Waitati,,-45.75,170.5667,
522,Abhā,,18.2164,42.5053,
523,Oranjemund,,-28.55,16.4333,
524,Yangi Marg`ilon,,40.4272,71.7189,
525,Matara,,5.9485,80.5353,
526,Solnechnyy,,50.7214,136.6319,
527,Morón,,-34.6534,-58.6198,
528,Oistins,,13.0667,-59.5333,
529,Santa María del Oro,,25.9333,-105.3667,
530,Sisimiut,,66.9395,-53.6735,
531,Tancheng,,27.4375,115.4976,
532,Luan,,46.3592,6.9759,
533,Homer,,59.6425,-151.5483,
534,Tarakan,,3.3,117.6333,
535,Russell,,32.3502,-85.1999,
536,Kamina,,-8.7386,24.9906,
537,Praia,,14.9215,-23.5087,
538,Garden City,,42.3256,-83.331,
